,UF,Estado,Regiao,QUANTIDADE,latitude,longitude
0,SP,São Paulo,Sudeste,281621,-22.19,-48.79
1,MG,Minas Gerais,Sudeste,230155,-18.1,-44.38
2,BA,Bahia,Nordeste,124637,-13.29,-41.71
3,PR,Paraná,Sul,101762,-24.89,-51.55
4,PA,Pará,Norte,87010,-3.79,-52.48
5,RS,Rio Grande do Sul,Sul,82039,-30.17,-53.5
6,SC,Santa Catarina,Sul,59760,-27.45,-50.95
7,CE,Ceará,Nordeste,58602,-5.2,-39.53
8,GO,Goiás,Centro-Oeste,58208,-15.98,-49.86
9,MA,Maranhão,Nordeste,54234,-5.42,-45.44
10,AM,Amazonas,Norte,48550,-3.47,-65.1
11,PE,Pernambuco,Nordeste,48016,-8.38,-37.86
12,MT,Mato Grosso,Centro-Oeste,41124,-12.64,-55.42
13,ES,Espírito Santo,Sudeste,31241,-19.19,-40.34
14,RJ,Rio de Janeiro,Sudeste,30676,-22.25,-42.66
15,MS,Mato Grosso do Sul,Centro-Oeste,27653,-20.51,-54.54
16,PI,Piauí,Nordeste,26613,-6.6,-42.28
17,PB,Paraíba,Nordeste,25946,-7.28,-36.72
18,RO,Rondônia,Norte,19906,-10.83,-63.34
19,DF,Distrito Federal,Centro-Oeste,17890,-15.83,-47.86
20,RN,Rio Grande do Norte,Nordeste,17193,-5.81,-36.59
21,AL,Alagoas,Nordeste,15245,-9.62,-36.82
22,SE,Sergipe,Nordeste,14736,-10.57,-37.45
23,TO,Tocantins,Norte,12280,-9.46,-48.26
24,AC,Acre,Norte,5997,-8.77,-70.55
25,RR,Roraima,Norte,4139,1.99,-61.33
26,AP,Amapá,Norte,3520,1.41,-51.77
