"UF","Estado","Regiao","QUANTIDADE"
SP,São Paulo,Sudeste,281621
MG,Minas Gerais,Sudeste,230155
BA,Bahia,Nordeste,124637
PR,Paraná,Sul,101762
PA,Pará,Norte,87010
RS,Rio Grande do Sul,Sul,82039
SC,Santa Catarina,Sul,59760
CE,Ceará,Nordeste,58602
GO,Goiás,Centro-Oeste,58208
MA,Maranhão,Nordeste,54234
AM,Amazonas,Norte,48550
PE,Pernambuco,Nordeste,48016
MT,Mato Grosso,Centro-Oeste,41124
ES,Espírito Santo,Sudeste,31241
RJ,Rio de Janeiro,Sudeste,30676
MS,Mato Grosso do Sul,Centro-Oeste,27653
PI,Piauí,Nordeste,26613
PB,Paraíba,Nordeste,25946
RO,Rondônia,Norte,19906
DF,Distrito Federal,Centro-Oeste,17890
RN,Rio Grande do Norte,Nordeste,17193
AL,Alagoas,Nordeste,15245
SE,Sergipe,Nordeste,14736
TO,Tocantins,Norte,12280
AC,Acre,Norte,5997
RR,Roraima,Norte,4139
AP,Amapá,Norte,3520
