CDUF,FaixaIdade,Ano,Trimestre,Trabalhadores,UF,NOUF,Regiao
11,14 a 17,2018,1,13464,RO,Rondônia,Norte
11,14 a 17,2018,2,4908,RO,Rondônia,Norte
11,14 a 17,2018,3,10096,RO,Rondônia,Norte
11,14 a 17,2018,4,13203,RO,Rondônia,Norte
11,14 a 17,2019,1,10385,RO,Rondônia,Norte
11,14 a 17,2019,2,5153,RO,Rondônia,Norte
11,14 a 17,2019,3,9136,RO,Rondônia,Norte
11,14 a 17,2019,4,5620,RO,Rondônia,Norte
11,5 a 13,2018,1,3978,RO,Rondônia,Norte
11,5 a 13,2018,2,4285,RO,Rondônia,Norte
11,5 a 13,2018,3,1868,RO,Rondônia,Norte
11,5 a 13,2018,4,8268,RO,Rondônia,Norte
11,5 a 13,2019,1,3377,RO,Rondônia,Norte
11,5 a 13,2019,2,4249,RO,Rondônia,Norte
11,5 a 13,2019,3,2230,RO,Rondônia,Norte
11,5 a 13,2019,4,958,RO,Rondônia,Norte
12,14 a 17,2018,1,3321,AC,Acre,Norte
12,14 a 17,2018,2,3899,AC,Acre,Norte
12,14 a 17,2018,3,3739,AC,Acre,Norte
12,14 a 17,2018,4,4103,AC,Acre,Norte
12,14 a 17,2019,1,4108,AC,Acre,Norte
12,14 a 17,2019,2,2491,AC,Acre,Norte
12,14 a 17,2019,3,2834,AC,Acre,Norte
12,14 a 17,2019,4,3363,AC,Acre,Norte
12,5 a 13,2018,1,1490,AC,Acre,Norte
12,5 a 13,2018,2,1583,AC,Acre,Norte
12,5 a 13,2018,3,1211,AC,Acre,Norte
12,5 a 13,2018,4,1936,AC,Acre,Norte
12,5 a 13,2019,1,1451,AC,Acre,Norte
12,5 a 13,2019,2,308,AC,Acre,Norte
12,5 a 13,2019,3,554,AC,Acre,Norte
12,5 a 13,2019,4,1451,AC,Acre,Norte
13,14 a 17,2018,1,17905,AM,Amazonas,Norte
13,14 a 17,2018,2,15279,AM,Amazonas,Norte
13,14 a 17,2018,3,20140,AM,Amazonas,Norte
13,14 a 17,2018,4,14008,AM,Amazonas,Norte
13,14 a 17,2019,1,14068,AM,Amazonas,Norte
13,14 a 17,2019,2,15469,AM,Amazonas,Norte
13,14 a 17,2019,3,17741,AM,Amazonas,Norte
13,14 a 17,2019,4,19222,AM,Amazonas,Norte
13,5 a 13,2018,1,2310,AM,Amazonas,Norte
13,5 a 13,2018,2,2754,AM,Amazonas,Norte
13,5 a 13,2018,3,2518,AM,Amazonas,Norte
13,5 a 13,2018,4,3729,AM,Amazonas,Norte
13,5 a 13,2019,1,1917,AM,Amazonas,Norte
13,5 a 13,2019,2,2107,AM,Amazonas,Norte
13,5 a 13,2019,3,1322,AM,Amazonas,Norte
13,5 a 13,2019,4,1916,AM,Amazonas,Norte
14,14 a 17,2018,1,2677,RR,Roraima,Norte
14,14 a 17,2018,2,1911,RR,Roraima,Norte
14,14 a 17,2018,3,1061,RR,Roraima,Norte
14,14 a 17,2018,4,1723,RR,Roraima,Norte
14,14 a 17,2019,1,1750,RR,Roraima,Norte
14,14 a 17,2019,2,1638,RR,Roraima,Norte
14,14 a 17,2019,3,1956,RR,Roraima,Norte
14,14 a 17,2019,4,1320,RR,Roraima,Norte
14,5 a 13,2018,1,133,RR,Roraima,Norte
14,5 a 13,2018,2,495,RR,Roraima,Norte
14,5 a 13,2018,3,364,RR,Roraima,Norte
14,5 a 13,2018,4,1941,RR,Roraima,Norte
14,5 a 13,2019,1,1615,RR,Roraima,Norte
14,5 a 13,2019,2,851,RR,Roraima,Norte
14,5 a 13,2019,3,871,RR,Roraima,Norte
14,5 a 13,2019,4,427,RR,Roraima,Norte
15,14 a 17,2018,1,35655,PA,Pará,Norte
15,14 a 17,2018,2,44101,PA,Pará,Norte
15,14 a 17,2018,3,45439,PA,Pará,Norte
15,14 a 17,2018,4,45838,PA,Pará,Norte
15,14 a 17,2019,1,35664,PA,Pará,Norte
15,14 a 17,2019,2,37458,PA,Pará,Norte
15,14 a 17,2019,3,38495,PA,Pará,Norte
15,14 a 17,2019,4,39223,PA,Pará,Norte
15,5 a 13,2018,1,10499,PA,Pará,Norte
15,5 a 13,2018,2,13379,PA,Pará,Norte
15,5 a 13,2018,3,13129,PA,Pará,Norte
15,5 a 13,2018,4,14798,PA,Pará,Norte
15,5 a 13,2019,1,11669,PA,Pará,Norte
15,5 a 13,2019,2,4848,PA,Pará,Norte
15,5 a 13,2019,3,12590,PA,Pará,Norte
15,5 a 13,2019,4,8310,PA,Pará,Norte
16,14 a 17,2018,1,1611,AP,Amapá,Norte
16,14 a 17,2018,2,551,AP,Amapá,Norte
16,14 a 17,2018,3,863,AP,Amapá,Norte
16,14 a 17,2018,4,2650,AP,Amapá,Norte
16,14 a 17,2019,1,3991,AP,Amapá,Norte
16,14 a 17,2019,2,2861,AP,Amapá,Norte
16,14 a 17,2019,3,1581,AP,Amapá,Norte
16,14 a 17,2019,4,1777,AP,Amapá,Norte
16,5 a 13,2018,2,295,AP,Amapá,Norte
16,5 a 13,2018,3,311,AP,Amapá,Norte
16,5 a 13,2019,1,1167,AP,Amapá,Norte
16,5 a 13,2019,2,471,AP,Amapá,Norte
16,5 a 13,2019,4,169,AP,Amapá,Norte
17,14 a 17,2018,1,4842,TO,Tocantins,Norte
17,14 a 17,2018,2,8953,TO,Tocantins,Norte
17,14 a 17,2018,3,7302,TO,Tocantins,Norte
17,14 a 17,2018,4,9807,TO,Tocantins,Norte
17,14 a 17,2019,1,5958,TO,Tocantins,Norte
17,14 a 17,2019,2,7783,TO,Tocantins,Norte
17,14 a 17,2019,3,8708,TO,Tocantins,Norte
17,14 a 17,2019,4,3957,TO,Tocantins,Norte
17,5 a 13,2018,1,2033,TO,Tocantins,Norte
17,5 a 13,2018,2,1930,TO,Tocantins,Norte
17,5 a 13,2018,3,1317,TO,Tocantins,Norte
17,5 a 13,2018,4,3601,TO,Tocantins,Norte
17,5 a 13,2019,1,2236,TO,Tocantins,Norte
17,5 a 13,2019,2,1751,TO,Tocantins,Norte
17,5 a 13,2019,3,1504,TO,Tocantins,Norte
17,5 a 13,2019,4,2599,TO,Tocantins,Norte
21,14 a 17,2018,1,35379,MA,Maranhão,Nordeste
21,14 a 17,2018,2,28783,MA,Maranhão,Nordeste
21,14 a 17,2018,3,20781,MA,Maranhão,Nordeste
21,14 a 17,2018,4,23806,MA,Maranhão,Nordeste
21,14 a 17,2019,1,30991,MA,Maranhão,Nordeste
21,14 a 17,2019,2,33029,MA,Maranhão,Nordeste
21,14 a 17,2019,3,23391,MA,Maranhão,Nordeste
21,14 a 17,2019,4,22366,MA,Maranhão,Nordeste
21,5 a 13,2018,1,13050,MA,Maranhão,Nordeste
21,5 a 13,2018,2,6014,MA,Maranhão,Nordeste
21,5 a 13,2018,3,8160,MA,Maranhão,Nordeste
21,5 a 13,2018,4,10061,MA,Maranhão,Nordeste
21,5 a 13,2019,1,11528,MA,Maranhão,Nordeste
21,5 a 13,2019,2,10587,MA,Maranhão,Nordeste
21,5 a 13,2019,3,11244,MA,Maranhão,Nordeste
21,5 a 13,2019,4,5282,MA,Maranhão,Nordeste
22,14 a 17,2018,1,12325,PI,Piauí,Nordeste
22,14 a 17,2018,2,9710,PI,Piauí,Nordeste
22,14 a 17,2018,3,8942,PI,Piauí,Nordeste
22,14 a 17,2018,4,16687,PI,Piauí,Nordeste
22,14 a 17,2019,1,16603,PI,Piauí,Nordeste
22,14 a 17,2019,2,12085,PI,Piauí,Nordeste
22,14 a 17,2019,3,9073,PI,Piauí,Nordeste
22,14 a 17,2019,4,7691,PI,Piauí,Nordeste
22,5 a 13,2018,1,2267,PI,Piauí,Nordeste
22,5 a 13,2018,2,6270,PI,Piauí,Nordeste
22,5 a 13,2018,3,1747,PI,Piauí,Nordeste
22,5 a 13,2018,4,2996,PI,Piauí,Nordeste
22,5 a 13,2019,1,2910,PI,Piauí,Nordeste
22,5 a 13,2019,2,3932,PI,Piauí,Nordeste
22,5 a 13,2019,3,2474,PI,Piauí,Nordeste
22,5 a 13,2019,4,2282,PI,Piauí,Nordeste
23,14 a 17,2018,1,35664,CE,Ceará,Nordeste
23,14 a 17,2018,2,28027,CE,Ceará,Nordeste
23,14 a 17,2018,3,24653,CE,Ceará,Nordeste
23,14 a 17,2018,4,26064,CE,Ceará,Nordeste
23,14 a 17,2019,1,30389,CE,Ceará,Nordeste
23,14 a 17,2019,2,26052,CE,Ceará,Nordeste
23,14 a 17,2019,3,37423,CE,Ceará,Nordeste
23,14 a 17,2019,4,26145,CE,Ceará,Nordeste
23,5 a 13,2018,1,8451,CE,Ceará,Nordeste
23,5 a 13,2018,2,7641,CE,Ceará,Nordeste
23,5 a 13,2018,3,10809,CE,Ceará,Nordeste
23,5 a 13,2018,4,10344,CE,Ceará,Nordeste
23,5 a 13,2019,1,7776,CE,Ceará,Nordeste
23,5 a 13,2019,2,9281,CE,Ceará,Nordeste
23,5 a 13,2019,3,13037,CE,Ceará,Nordeste
23,5 a 13,2019,4,7792,CE,Ceará,Nordeste
24,14 a 17,2018,1,11522,RN,Rio Grande do Norte,Nordeste
24,14 a 17,2018,2,9443,RN,Rio Grande do Norte,Nordeste
24,14 a 17,2018,3,11874,RN,Rio Grande do Norte,Nordeste
24,14 a 17,2018,4,11573,RN,Rio Grande do Norte,Nordeste
24,14 a 17,2019,1,6230,RN,Rio Grande do Norte,Nordeste
24,14 a 17,2019,2,7950,RN,Rio Grande do Norte,Nordeste
24,14 a 17,2019,3,8248,RN,Rio Grande do Norte,Nordeste
24,14 a 17,2019,4,8126,RN,Rio Grande do Norte,Nordeste
24,5 a 13,2018,2,2347,RN,Rio Grande do Norte,Nordeste
24,5 a 13,2018,3,2153,RN,Rio Grande do Norte,Nordeste
24,5 a 13,2019,1,3474,RN,Rio Grande do Norte,Nordeste
24,5 a 13,2019,2,4951,RN,Rio Grande do Norte,Nordeste
