"UF","Estado","Regiao","Sexo","TipoDeTrabalho","Quantidade"
AC,Acre,Norte,"1","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1209
AC,Acre,Norte,"1",ALOJAMENTO E ALIMENTAÇÃO,77
AC,Acre,Norte,"1",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,57
AC,Acre,Norte,"1",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,427
AC,Acre,Norte,"1",CONSTRUÇÃO,175
AC,Acre,Norte,"1",EDUCAÇÃO,87
AC,Acre,Norte,"1",INDÚSTRIAS DE TRANSFORMAÇÃO,1122
AC,Acre,Norte,"2","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",165
AC,Acre,Norte,"2",ALOJAMENTO E ALIMENTAÇÃO,117
AC,Acre,Norte,"2",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,120
AC,Acre,Norte,"2","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",87
AC,Acre,Norte,"2",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,25
AC,Acre,Norte,"2",INDÚSTRIAS DE TRANSFORMAÇÃO,624
AC,Acre,Norte,"2",OUTRAS ATIVIDADES DE SERVIÇOS,91
AC,Acre,Norte,"2",SERVIÇOS DOMÉSTICOS,222
AC,Acre,Norte,"2","TRANSPORTE, ARMAZENAGEM E CORREIO",116
AL,Alagoas,Nordeste,"1","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",2493
AL,Alagoas,Nordeste,"1","ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",182
AL,Alagoas,Nordeste,"1",ALOJAMENTO E ALIMENTAÇÃO,1367
AL,Alagoas,Nordeste,"1",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,3793
AL,Alagoas,Nordeste,"1",CONSTRUÇÃO,628
AL,Alagoas,Nordeste,"1",INDÚSTRIAS DE TRANSFORMAÇÃO,546
