UF,Estado,AtividadeEconomica,Idade,Trabalhadores,Populacao
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",22,64.56571011,5173.3849322
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",23,110.14468314,10262.97585742
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",26,76.77722065,8543.07477882
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",27,268.75133462,8451.25057636
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",28,239.00523547,7045.94143634
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",30,104.52086444,5596.13685072
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",31,504.81592993,9450.11938006
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",32,134.25309042,6156.2153758800005
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",33,148.1448141,6230.08170684
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",34,317.09089784,8864.90380416
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",35,419.75666184,6484.05573228
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",36,387.59188555,6780.0318072400005
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",37,118.29095359,6197.73678466
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",38,87.02258553,6863.89740362
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",39,212.2492538,8540.30380048
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",40,173.41366929,6561.0573247
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",41,209.23359645,8456.75883344
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",43,379.85408213,6015.62146532
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",45,228.28401235,5897.7298336
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",46,216.73699451,3926.25437926
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",48,118.29095359,3240.25862862
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",49,316.45167246,5640.72563146
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",50,92.61503516,3550.77272258
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",51,76.77722065,4852.39077356
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",52,253.88710712,3580.89881544
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",53,183.88511975,5565.42472846
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",54,246.06958377,3835.56554408
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",55,215.93236509,6050.31068678
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",56,422.39015487,4657.06221208
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",59,130.57174783,5459.41677276
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",60,349.24521391,4027.26694686
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",61,99.08891331,4609.18612536
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",62,99.08891331,2288.71197632
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",63,173.03492585,3537.1247897
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",65,223.76782459,4328.33540952
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",66,76.77722065,2656.37836702
AC,Acre,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",69,64.56571011,2656.30587264
